DEBUG 2024-11-29 17:47:44,516 autoreload File C:\Python312\Lib\site-packages\numpy\lib\_shape_base_impl.py first seen with mtime 1731399516.959427
DEBUG 2024-11-29 17:47:44,524 autoreload File C:\Python312\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1730979580.803478
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\openai\types\beta\threads\runs\tool_call.py first seen with mtime 1731399199.828781
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\services\file_service\client.py first seen with mtime 1731388191.9617467
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\google\protobuf\internal\__init__.py first seen with mtime 1731780289.8902953
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\django\db\models\constants.py first seen with mtime 1730979580.7399952
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\pandas\core\ops\invalid.py first seen with mtime 1731399519.8279798
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\httpcore\_trace.py first seen with mtime 1732792709.6694024
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\pandas\io\formats\format.py first seen with mtime 1731399519.8670459
DEBUG 2024-11-29 17:47:44,525 autoreload File C:\Python312\Lib\site-packages\tqdm\_dist_ver.py first seen with mtime 1731388186.1915505
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Python312\Lib\site-packages\google\api_core\protobuf_helpers.py first seen with mtime 1731780292.0864275
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Python312\Lib\site-packages\psycopg2\_ipaddress.py first seen with mtime 1732112053.0463576
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Python312\Lib\site-packages\pydantic\v1\decorator.py first seen with mtime 1731388189.4741058
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Python312\Lib\site-packages\h2\windows.py first seen with mtime 1731780067.1448958
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Python312\Lib\site-packages\openai\types\fine_tuning\fine_tuning_job_wandb_integration.py first seen with mtime 1731399199.8582056
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Users\user\AppData\Roaming\Python\Python312\site-packages\dateutil\tz\_common.py first seen with mtime 1707359916.6297784
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Python312\Lib\site-packages\google\ai\generativelanguage_v1beta\services\discuss_service\transports\grpc_asyncio.py first seen with mtime 1731388191.9617467
DEBUG 2024-11-29 17:47:44,529 autoreload File C:\Python312\Lib\site-packages\packaging\_elffile.py first seen with mtime 1732879926.1505253
DEBUG 2024-11-29 17:47:44,532 autoreload File C:\Python312\Lib\site-packages\hyperframe\__init__.py first seen with mtime 1731780065.3774474
DEBUG 2024-11-29 17:47:44,532 autoreload File C:\Python312\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1730979580.6764526
DEBUG 2024-11-29 17:47:44,532 autoreload File C:\projects\daryo-api-django\api\serializers.py first seen with mtime 1732111451.8767264
DEBUG 2024-11-29 17:47:44,532 autoreload File C:\Python312\Lib\site-packages\proto\message.py first seen with mtime 1731388188.7828014
DEBUG 2024-11-29 17:47:44,532 autoreload File C:\Python312\Lib\site-packages\yaml\error.py first seen with mtime 1730532044.9011974
DEBUG 2024-11-29 17:47:44,532 autoreload File C:\Python312\Lib\site-packages\yaml\nodes.py first seen with mtime 1730532044.9022222
DEBUG 2024-11-29 17:47:44,534 autoreload File C:\Python312\Lib\site-packages\proto\__init__.py first seen with mtime 1731388188.7757888
DEBUG 2024-11-29 17:47:44,534 autoreload File C:\Python312\Lib\site-packages\numpy\_array_api_info.py first seen with mtime 1731399516.8397605
DEBUG 2024-11-29 17:47:44,534 autoreload File C:\Python312\DLLs\_hashlib.pyd first seen with mtime 1725636728.0
DEBUG 2024-11-29 17:47:44,534 autoreload File C:\Python312\Lib\site-packages\numpy\random\_common.cp312-win_amd64.pyd first seen with mtime 1731399517.0463626
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\site-packages\openai\types\embedding_model.py first seen with mtime 1731399199.7454896
